Search terms report
All time
Search term,Match type,Added/Excluded,Campaign,Ad group,Impr.,Interactions,Interaction rate,Currency code,Avg. cost,Cost,Campaign type,Conv. rate,Conversions,Cost / conv.
free astrology chat app,Broad match,Excluded,SearchAstralAGI,Ad group 1,1,1,100.00%,EUR,0.91,0.91,Search,0.00%,0.00,0.00
astrolog,Broad match,None,SearchAstralAGI,Ad group 1,2,1,50.00%,EUR,3.93,3.93,Search,0.00%,0.00,0.00
astrology,Broad match,Excluded,SearchAstralAGI,Ad group 1,78,4,5.13%,EUR,0.32,1.26,Search,0.00%,0.00,0.00
vedic astrology chart with interpretation free,Phrase match (close variant),Excluded,SearchAstralAGI,Ad group 1,3,1,33.33%,EUR,1.08,1.08,Search,0.00%,0.00,0.00
sagittarius and aquarius love compatibility,Phrase match (close variant),None,SearchAstralAGI,Ad group 1,1,0,0.00%,EUR,0,0.00,Search,0.00%,0.00,0.00
professional birth chart reading,Exact match (close variant),None,SearchAstralAGI,Ad group 1,2,0,0.00%,EUR,0,0.00,Search,0.00%,0.00,0.00
robert ohotto channel,Broad match,Excluded,SearchAstralAGI,Ad group 1,1,0,0.00%,EUR,0,0.00,Search,0.00%,0.00,0.00
suresh shrimali,Phrase match (close variant),None,SearchAstralAGI,Ad group 1,1,0,0.00%,EUR,0,0.00,Search,0.00%,0.00,0.00
most accurate free birth chart,Exact match (close variant),None,SearchAstralAGI,Ad group 1,1,0,0.00%,EUR,0,0.00,Search,0.00%,0.00,0.00
zodiac signs love compatibility,Exact match (close variant),None,SearchAstralAGI,Ad group 1,1,0,0.00%,EUR,0,0.00,Search,0.00%,0.00,0.00
my horoscope for 2025,Phrase match (close variant),Excluded,SearchAstralAGI,Ad group 1,1,0,0.00%,EUR,0,0.00,Search,0.00%,0.00,0.00
how are horoscopes determined,Broad match,Excluded,SearchAstralAGI,Ad group 1,3,0,0.00%,EUR,0,0.00,Search,0.00%,0.00,0.00
free love compatibility test,Broad match,Added,SearchAstralAGI,Ad group 1,1,0,0.00%,EUR,0,0.00,Search,0.00%,0.00,0.00
stella wilde astrology,Phrase match (close variant),None,SearchAstralAGI,Ad group 1,1,0,0.00%,EUR,0,0.00,Search,0.00%,0.00,0.00
